CNAE,Descrição
8630503,ATIVIDADE MÉDICA AMBULATORIAL RESTRITA A CONSULTAS                                                                       
6911703,AGENTE DE PROPRIEDADE INDUSTRIAL                                                                                         
4752100,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO                                              
4661300,"COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO AGROPECUÁRIO (PARTES E PEÇAS)"
4729699,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIOR
9430800,ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS                                                                  
1062700,MOAGEM DE TRIGO E FABRICAÇÃO DE DERIVADOS                                                                                
4645101,"COMÉRCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO, CIRÚRGICO, HOSPITALAR E DE LABORATÓRIOS                 "
4930201,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL                                          "
1099699,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE                                               
8593700,ENSINO DE IDIOMAS                                                                                                        
9312300,"CLUBES SOCIAIS, ESPORTIVOS E SIMILARES                                                                                   "
9313100,ATIVIDADES DE CONDICIONAMENTO FÍSICO                                                                                     
3314702,"MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, EXCETO VÁLVULAS                                        "
3314708,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS                        "
2330302,FABRICAÇÃO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUÇÃO                                                                
9603304,SERVIÇOS DE FUNERÁRIAS                                                                                                   
4110700,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS                                                                             
4729602,COMÉRCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIÊNCIA                                                               
4754703,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO                                                                              
6202300,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZÁVEIS                                                 
2790201,"FABRICAÇÃO DE ELETRODOS, CONTATOS E OUTROS ARTIGOS DE CARVÃO E GRAFITA PARA USO ELÉTRICO, ELETROÍMÃS E ISOLADORES        "
5320202,SERVIÇOS DE ENTREGA RÁPIDA                                                                                               
2093200,FABRICAÇÃO DE ADITIVOS DE USO INDUSTRIAL                                                                                 
8712300,ATIVIDADES DE FORNECIMENTO DE INFRA-ESTRUTURA DE APOIO E ASSISTÊNCIA A PACIENTE NO DOMICÍLIO                             
6311900,"TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APLICAÇÃO E SERVIÇOS DE HOSPEDAGEM NA INTERNET                            "
4687702,"COMÉRCIO ATACADISTA DE RESÍDUOS E SUCATAS NÃO-METÁLICOS, EXCETO DE PAPEL E PAPELÃO                                       "
8690999,OUTRAS ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA NÃO ESPECIFICADAS ANTERIORMENTE                                              
7319002,PROMOÇÃO DE VENDAS                                                                                                       
6203100,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NÃO-CUSTOMIZÁVEIS                                             
4530701,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES                                               
7820500,LOCAÇÃO DE MÃO-DE-OBRA TEMPORÁRIA                                                                                        
4120400,CONSTRUÇÃO DE EDIFÍCIOS                                                                                                  
7111100,SERVIÇOS DE ARQUITETURA                                                                                                  
6209100,"SUPORTE TÉCNICO, MANUTENÇÃO E OUTROS SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO                                                "
1091101,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL                                                                         
4679699,COMÉRCIO ATACADISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL                                                                  
4789006,COMÉRCIO VAREJISTA DE FOGOS DE ARTIFÍCIO E ARTIGOS PIROTÉCNICOS                                                          
9412099,OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS
4541205,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS PARA MOTOCICLETAS E MOTONETAS                                                    
3211602,FABRICAÇÃO DE ARTEFATOS DE JOALHERIA E OURIVESARIA                                                                       
4649410,"COMÉRCIO ATACADISTA DE JÓIAS, RELÓGIOS E BIJUTERIAS, INCLUSIVE PEDRAS PRECIOSAS E SEMIPRECIOSAS LAPIDADAS                "
8800600,SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO                                                                            
5620101,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS                                                    
4789008,COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM                                                               
3600602,DISTRIBUIÇÃO DE ÁGUA POR CAMINHÕES                                                                                       
8630504,ATIVIDADE ODONTOLÓGICA                                                                                                   
4530702,COMÉRCIO POR ATACADO DE PNEUMÁTICOS E CÂMARAS-DE-AR                                                                      
8211300,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO                                                                 
7490104,"ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERVIÇOS E NEGÓCIOS EM GERAL, EXCETO IMOBILIÁRIOS                          "
4763603,COMÉRCIO VAREJISTA DE BICICLETAS E TRICICLOS (PEÇAS E ACESSÓRIOS)
2342702,"FABRICAÇÃO DE ARTEFATOS DE CERÂMICA E BARRO COZIDO PARA USO NA CONSTRUÇÃO, EXCETO AZULEJOS E PISOS                       "
1122401,FABRICAÇÃO DE REFRIGERANTES                                                                                              
4757100,"COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORM"
9601701,LAVANDERIAS                                                                                                              
8520100,ENSINO MÉDIO                                                                                                             
1822999,"SERVIÇOS DE ACABAMENTOS GRÁFICOS, EXCETO ENCADERNAÇÃO E PLASTIFICAÇÃO                                                    "
6911701,SERVIÇOS ADVOCATÍCIOS                                                                                                    
3316301,"MANUTENÇÃO E REPARAÇÃO DE AERONAVES, EXCETO A MANUTENÇÃO NA PISTA                                                        "
8541400,EDUCAÇÃO PROFISSIONAL DE NÍVEL TÉCNICO                                                                                   
8230001,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS                                                       "
9602502,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA                                                        
4649401,COMÉRCIO ATACADISTA DE EQUIPAMENTOS ELÉTRICOS DE USO PESSOAL E DOMÉSTICO                                                 
6190601,PROVEDORES DE ACESSO ÀS REDES DE COMUNICAÇÕES                                                                            
6822600,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA                                                                        
9602501,CABELEIREIROS                                                                                                            
1091102,FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA                                    
1733800,FABRICAÇÃO DE CHAPAS E DE EMBALAGENS DE PAPELÃO ONDULADO                                                                 
4691500,"COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS                                  "
8020001,ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURAN
5811500,EDIÇÃO DE LIVROS                                                                                                         
1032599,"FABRICAÇÃO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO                                                     "
8129000,ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE                                                                    
6810203,LOTEAMENTO DE IMÓVEIS PRÓPRIOS                                                                                           
6810201,COMPRA E VENDA DE IMÓVEIS PRÓPRIOS                                                                                       
6462000,HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS                                                                                 
5229002,SERVIÇOS DE REBOQUE DE VEÍCULOS                                                                                          
2229399,FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA OUTROS USOS NÃO ESPECIFICADOS ANTERIORMENTE                            
4741500,COMÉRCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA                                                                    
7420001,"ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, EXCETO AÉREA E SUBMARINA                                                          "
6399200,OUTRAS ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO NÃO ESPECIFICADAS ANTERIORMENTE                                 
7119799,ATIVIDADES TÉCNICAS RELACIONADAS À ENGENHARIA E ARQUITETURA NÃO ESPECIFICADAS ANTERIORMENTE                              
7912100,OPERADORES TURÍSTICOS                                                                                                    
8599605,CURSOS PREPARATÓRIOS PARA CONCURSOS                                                                                      
4623109,COMÉRCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS                                                                            
2814301,"FABRICAÇÃO DE COMPRESSORES PARA USO INDUSTRIAL, PEÇAS E ACESSÓRIOS                                                       "
7500100,ATIVIDADES VETERINÁRIAS                                                                                                  
7120100,TESTES E ANÁLISES TÉCNICAS                                                                                               
6190699,OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES NÃO ESPECIFICADAS ANTERIORMENTE                                                    
8599699,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE                                                              
8640202,LABORATÓRIOS CLÍNICOS                                                                                                    
3101200,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA                                                                        
4744004,"COMÉRCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS                                                        "
3313901,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS                                                 "
4930204,TRANSPORTE RODOVIÁRIO DE MUDANÇAS                                                                                        
4759801,"COMÉRCIO VAREJISTA DE ARTIGOS DE TAPEÇARIA, CORTINAS E PERSIANAS                                                         "
5620104,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR                                          
2950600,RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES                                                     
7312200,"AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE, EXCETO EM VEÍCULOS DE COMUNICAÇÃO                                              "
8299706,CASAS LOTÉRICAS                                                                                                          
7740300,GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS                                                                             
9609206,SERVIÇOS DE TATUAGEM E COLOCAÇÃO DE PIERCING                                                                             
2219600,FABRICAÇÃO DE ARTEFATOS DE BORRACHA NÃO ESPECIFICADOS ANTERIORMENTE                                                      
4724500,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS                                                                               
9329802,EXPLORAÇÃO DE BOLICHES                                                                                                   
6319400,"PORTAIS, PROVEDORES DE CONTEÚDO E OUTROS SERVIÇOS DE INFORMAÇÃO NA INTERNET                                              "
8599604,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL                                                                  
7119703,SERVIÇOS DE DESENHO TÉCNICO RELACIONADOS À ARQUITETURA E ENGENHARIA                                                      
9603301,GESTÃO E MANUTENÇÃO DE CEMITÉRIOS                                                                                        
4649408,"COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR                                             "
4634601,COMÉRCIO ATACADISTA DE CARNES BOVINAS E SUÍNAS E DERIVADOS                                                               
4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO                                                                               
8122200,IMUNIZAÇÃO E CONTROLE DE PRAGAS URBANAS                                                                                  
4744003,COMÉRCIO VAREJISTA DE MATERIAIS HIDRÁULICOS                                                                              
1352900,FABRICAÇÃO DE ARTEFATOS DE TAPEÇARIA                                                                                     
1821100,SERVIÇOS DE PRÉ-IMPRESSÃO                                                                                                
4721103,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS                                                                                 
6920602,ATIVIDADES DE CONSULTORIA E AUDITORIA CONTÁBIL E TRIBUTÁRIA                                                              
4330401,IMPERMEABILIZAÇÃO EM OBRAS DE ENGENHARIA CIVIL                                                                           
6204000,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO                                                                                  
4789005,COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS                                                                 
3250706,SERVIÇOS DE PRÓTESE DENTÁRIA                                                                                             
8650003,ATIVIDADES DE PSICOLOGIA E PSICANÁLISE                                                                                   
5310502,ATIVIDADES DE FRANQUEADAS E PERMISSIONÁRIAS DO CORREIO NACIONAL                                                          
5212500,CARGA E DESCARGA                                                                                                         
6201502,WEB DESIGN
2522500,"FABRICAÇÃO DE CALDEIRAS GERADORAS DE VAPOR, EXCETO PARA AQUECIMENTO CENTRAL E PARA VEÍCULOS                              "
3250707,FABRICAÇÃO DE ARTIGOS ÓPTICOS                                                                                            
8630502,ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS PARA REALIZAÇÃO DE EXAMES COMPLEMENTARES                                      
1411801,CONFECÇÃO DE ROUPAS ÍNTIMAS                                                                                              
4637199,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE                        
2071100,"FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES E LACAS                                                                         "
3250705,FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA                                                                      
4221905,MANUTENÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES                                                                       
4330404,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL                                                                                
5620103,CANTINAS - SERVIÇOS DE ALIMENTAÇÃO PRIVATIVOS                                                                            
6492100,SECURITIZAÇÃO DE CRÉDITOS                                                                                                
8599603,TREINAMENTO EM INFORMÁTICA                                                                                               
